j=1000
  Avg:0.009559999999999961 Std:0.03120114838655781
j=10000
  Avg:-0.03506000000000049 Std:0.10026626291849115
         3949389 function calls (3903366 primitive calls) in 49.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  459/441    0.000    0.000    0.002    0.000 contextlib.py:139(__exit__)
       12    0.000    0.000    0.001    0.000 datetime.py:461(__new__)
      225    0.000    0.000    0.019    0.000 sre_compile.py:622(_code)
      205    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      622    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      134    0.000    0.000    0.002    0.000 markers.py:295(_set_marker)
      186    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
    520/8    0.000    0.000    0.972    0.121 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      732    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      313    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      152    0.000    0.000    0.000    0.000 font_manager.py:826(set_weight)
      194    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
     2823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      535    0.000    0.000    0.005    0.000 colors.py:111(is_color_like)
      316    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
   111/79    0.000    0.000    0.001    0.000 transforms.py:2441(get_affine)
      316    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
      114    0.000    0.000    0.391    0.003 artist.py:1730(kwdoc)
       96    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      829    0.000    0.000    0.001    0.000 artist.py:405(pchanged)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      164    0.000    0.000    0.004    0.000 text.py:162(update)
     1869    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      835    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
