         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      359    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      664    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
      401    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
     1163    0.000    0.000    0.000    0.000 transforms.py:107(__init__)
      274    0.000    0.000    0.001    0.000 __init__.py:65(check_isinstance)
      768    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      367    0.000    0.000    0.001    0.000 posixpath.py:71(join)
      358    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      313    0.000    0.000    0.001    0.000 function_base.py:443(_needs_add_docstring)
      216    0.000    0.000    0.208    0.001 artist.py:1327(__init__)
   265/36    0.000    0.000    0.023    0.001 core.py:3861(parseImpl)
     2692    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      686    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      781    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
       13    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       82    0.000    0.000    0.009    0.000 text.py:115(__init__)
     2692    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      622    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
      410    0.000    0.000    0.001    0.000 markers.py:237(_recache)
       16    0.000    0.000    0.004    0.000 ticker.py:2052(_raw_ticks)
  695/671    0.000    0.000    0.005    0.000 contextlib.py:130(__enter__)
      332    0.000    0.000    0.001    0.000 font_manager.py:862(set_size)
       30    0.000    0.000    0.001    0.000 function_base.py:23(linspace)
       22    0.000    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       72    0.000    0.000    0.001    0.000 pathlib.py:56(parse_parts)
    152/7    0.000    0.000    0.004    0.001 core.py:3675(streamline)
      533    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      647    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
      695    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
       33    0.000    0.000    0.000    0.000 {built-in method io.open}
     5950    0.000    0.000    0.000    0.000 inspect.py:2692(kind)
      349    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      140    0.000    0.000    0.002    0.000 core.py:3783(__init__)
      897    0.000    0.000    0.001    0.000 posixpath.py:60(isabs)
      256    0.000    0.000    0.001    0.000 font_manager.py:844(set_stretch)
      197    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      226    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      350    0.000    0.000    0.001    0.000 results.py:533(copy)
        1    0.000    0.000    0.001    0.001 helpers.py:692(<dictcomp>)
      572    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      133    0.000    0.000    0.017    0.000 std.py:1164(__str__)
      110    0.000    0.000    0.001    0.000 artist.py:1138(update_from)
  144/136    0.000    0.000    0.001    0.000 spines.py:330(get_spine_transform)
      367    0.000    0.000    0.012    0.000 artist.py:1159(set)
      712    0.000    0.000    0.001    0.000 function_base.py:346(iterable)
      399    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:169(__enter__)
  399/227    0.000    0.000    0.000    0.000 transforms.py:180(_invalidate_internal)
      133    0.000    0.000    0.000    0.000 std.py:188(__format__)
      285    0.000    0.000    0.001    0.000 transforms.py:1900(__init__)
      196    0.000    0.000    0.002    0.000 core.py:3601(__init__)
      313    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
       25    0.000    0.000    0.002    0.000 posixpath.py:400(_joinrealpath)
      133    0.000    0.000    0.001    0.000 std.py:1460(format_dict)
      415    0.000    0.000    0.003    0.000 core.py:499(copy)
      428    0.000    0.000    0.003    0.000 rcsetup.py:310(validate_color)
      394    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      618    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
